                                                                21.09.2022 12:04
________________________________________________________________________________



Curve Name:
  !$PHBH pAG
Curve Values:
          Index             Ts          Value
                          [°C]        [Wg^-1]
              0            -50   -0,000972868
              1       -50,0002    -0,00556464
              2       -50,0003     -0,0106043
              3       -50,0004     -0,0151457
              4       -50,0005     -0,0182388
              5       -50,0006      -0,021805
              6       -50,0007     -0,0249996
              7       -50,0008     -0,0280833
              8       -50,0009      -0,032325
              9        -50,001     -0,0358277
             10       -50,0011     -0,0384411
             11       -50,0012     -0,0408392
             12       -50,0012     -0,0431051
             13       -50,0013     -0,0452913
             14       -50,0014       -0,04724
             15       -50,0014     -0,0488363
             16       -50,0014     -0,0502763
             17       -50,0015     -0,0519777
             18       -50,0016     -0,0538229
             19       -50,0016     -0,0557464
             20       -50,0016     -0,0566473
             21       -50,0017     -0,0577443
             22       -50,0017      -0,058559
             23       -50,0017      -0,059283
             24       -50,0017     -0,0603127
             25       -50,0018     -0,0607063
             26       -50,0018     -0,0609093
             27       -50,0018     -0,0610512
             28       -50,0018     -0,0619277
             29       -50,0018     -0,0625183
             30       -50,0018      -0,062922
             31       -50,0018     -0,0640096
             32       -50,0018      -0,063257
             33       -50,0018     -0,0635917
             34       -50,0018     -0,0637483
             35       -50,0018     -0,0638469
             36       -50,0018     -0,0640055
             37       -50,0019     -0,0645989
             38       -50,0019     -0,0651285
             39       -50,0019     -0,0648352
             40       -50,0019     -0,0649942
             41       -50,0019     -0,0644283
             42       -50,0019     -0,0641831
             43       -50,0019     -0,0643425
             44       -50,0019     -0,0645171
             45       -50,0018     -0,0640973
             46       -50,0018     -0,0635606
             47       -50,0018     -0,0631649
             48       -50,0018      -0,063794
             49       -50,0018     -0,0635508
             50       -50,0018     -0,0630278
             51       -50,0018     -0,0629981
             52       -50,0018     -0,0628555
             53       -50,0018     -0,0633758
             54       -50,0018     -0,0634196
             55       -50,0018     -0,0632553
             56       -50,0018     -0,0633322
             57       -50,0018     -0,0631502
             58       -50,0018      -0,062535
             59       -50,0018     -0,0619833
             60       -50,0018     -0,0610846
             61       -50,0018     -0,0617933
             62       -50,0018     -0,0619639
             63       -50,0018     -0,0616252
             64       -50,0018     -0,0611735
             65       -50,0017     -0,0604625
             66       -50,0018     -0,0613238
             67       -50,0018     -0,0615958
             68       -50,0018     -0,0617643
             69       -50,0018     -0,0608153
             70       -50,0017     -0,0601044
             71       -50,0017     -0,0600508
             72       -50,0017     -0,0601526
             73       -50,0017     -0,0600827
             74       -50,0017     -0,0595559
             75       -50,0017     -0,0592683
             76       -50,0017     -0,0591263
             77       -50,0017     -0,0591215
             78       -50,0017      -0,058986
             79       -50,0017     -0,0587831
             80       -50,0017     -0,0585394
             81       -50,0017     -0,0584711
             82       -50,0017     -0,0585281
             83       -50,0017     -0,0585062
             84       -50,0017     -0,0586611
             85       -50,0017     -0,0585619
             86       -50,0017     -0,0583774
             87       -50,0017     -0,0584359
             88       -50,0017     -0,0575806
             89       -50,0017     -0,0572333
