#EXPORTTYPE:DATA SINGLE
#FILE:PHBH_microspheres.ngb-sdg
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:PHBH
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:24.09.2021 10:05
#CORR. FILE:
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:
#OPERATOR:Alberto
#REMARK:
#SAMPLE:PHBH_microspheres
#SAMPLE MASS /mg:8
#MATERIAL:
#REFERENCE:vuoto
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /‘V:5000
#TAU-R:applied
#CORR. CODE:050
#EXO:+1
#RANGE:180›C/10,0(K/min)/-30›C
#SEGMENT:S3/5
#SEG. 3:180›C/10,0(K/min)/-30›C

##Temp./›C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
-30.06110;39.49500;0.17153;3.39860
-29.06110;39.39515;0.17349;3.40040
-28.06110;39.29527;0.17475;3.40218
-27.06110;39.19538;0.17542;3.40393
-26.06110;39.09537;0.17610;3.40567
-25.06110;38.99534;0.17659;3.40738
-24.06110;38.89533;0.17712;3.40907
-23.06110;38.79539;0.17793;3.41074
-22.06110;38.69551;0.17868;3.41239
-21.06110;38.59561;0.17948;3.41402
-20.06110;38.49568;0.18022;3.41563
-19.06110;38.39581;0.18108;3.41722
-18.06110;38.29598;0.18202;3.41879
-17.06110;38.19609;0.18281;3.42033
-16.06110;38.09609;0.18374;3.42186
-15.06110;37.99616;0.18498;3.42336
-14.06110;37.89620;0.18646;3.42485
-13.06110;37.79622;0.18805;3.42631
-12.06110;37.69637;0.19018;3.42775
-11.06110;37.59663;0.19227;3.42917
-10.06110;37.49698;0.19491;3.43057
 -9.06110;37.39740;0.19778;3.43195
 -8.06110;37.29768;0.20046;3.43331
 -7.06110;37.19771;0.20417;3.43464
 -6.06110;37.09776;0.20918;3.43596
 -5.06110;36.99802;0.21412;3.43726
 -4.06110;36.89830;0.21961;3.43853
 -3.06110;36.79859;0.22558;3.43978
 -2.06110;36.69896;0.23281;3.44102
 -1.06110;36.59938;0.23866;3.44223
 -0.06110;36.49961;0.24438;3.44342
  0.93890;36.39971;0.24945;3.44459
  1.93890;36.29986;0.25393;3.44574
  2.93890;36.20007;0.25746;3.44687
  3.93890;36.10033;0.25997;3.44798
  4.93890;36.00045;0.26177;3.44907
  5.93890;35.90043;0.26327;3.45014
  6.93890;35.80036;0.26477;3.45118
  7.93890;35.70043;0.26652;3.45221
  8.93890;35.60068;0.26802;3.45322
  9.93890;35.50091;0.26912;3.45420
 10.93890;35.40098;0.27002;3.45517
 11.93890;35.30101;0.27109;3.45611
 12.93890;35.20115;0.27238;3.45703
 13.93890;35.10127;0.27350;3.45794
 14.93890;35.00125;0.27451;3.45882
 15.93890;34.90122;0.27577;3.45968
 16.93890;34.80131;0.27736;3.46052
 17.93890;34.70142;0.27896;3.46134
 18.93890;34.60155;0.28064;3.46215
 19.93890;34.50174;0.28258;3.46293
 20.93890;34.40195;0.28451;3.46369
 21.93890;34.30207;0.28638;3.46443
 22.93890;34.20210;0.28872;3.46515
 23.93890;34.10211;0.29183;3.46585
 24.93890;34.00227;0.29573;3.46653
 25.93890;33.90260;0.29918;3.46718
 26.93890;33.80298;0.30286;3.46782
 27.93890;33.70321;0.30706;3.46844
 28.93890;33.60353;0.31216;3.46904
 29.93890;33.50384;0.31765;3.46962
 30.93890;33.40422;0.32400;3.47018
 31.93890;33.30465;0.32989;3.47072
 32.93890;33.20501;0.33635;3.47124
 33.93890;33.10533;0.34371;3.47173
 34.93890;33.00562;0.35132;3.47221
 35.93890;32.90596;0.35916;3.47267
 36.93890;32.80644;0.36768;3.47311
 37.93890;32.70700;0.37585;3.47353
 38.93890;32.60756;0.38293;3.47393
 39.93890;32.50802;0.39034;3.47431
 40.93890;32.40844;0.39653;3.47467
 41.93890;32.30862;0.40086;3.47501
 42.93890;32.20849;0.40502;3.47533
 43.93890;32.10836;0.40805;3.47563
 44.93890;32.00838;0.40926;3.47591
 45.93890;31.90842;0.40741;3.47618
 46.93890;31.80829;0.40278;3.47642
 47.93890;31.70790;0.39682;3.47664
 48.93890;31.60744;0.38929;3.47685
 49.93890;31.50693;0.37982;3.47703
 50.93890;31.40634;0.36935;3.47719
 51.93890;31.30571;0.35956;3.47734
 52.93890;31.20525;0.35028;3.47747
 53.93890;31.10488;0.34164;3.47757
 54.93890;31.00458;0.33596;3.47766
 55.93890;30.90451;0.33184;3.47773
 56.93890;30.80452;0.32931;3.47778
 57.93890;30.70452;0.32860;3.47781
 58.93890;30.60442;0.32830;3.47782
 59.93890;30.50423;0.32778;3.47782
 60.93890;30.40402;0.32728;3.47779
 61.93890;30.30393;0.32548;3.47774
 62.93890;30.20391;0.32202;3.47768
 63.93890;30.10391;0.31898;3.47760
 64.93890;30.00399;0.31689;3.47750
 65.93890;29.90402;0.31625;3.47738
 66.93890;29.80396;0.31622;3.47724
 67.93890;29.70386;0.31642;3.47708
 68.93890;29.60389;0.31702;3.47690
 69.93890;29.50409;0.31770;3.47671
 70.93890;29.40421;0.31796;3.47650
 71.93890;29.30413;0.31803;3.47626
 72.93890;29.20395;0.31840;3.47601
 73.93890;29.10391;0.31919;3.47575
 74.93890;29.00406;0.31994;3.47546
 75.93890;28.90419;0.32035;3.47515
 76.93890;28.80430;0.32074;3.47483
 77.93890;28.70437;0.32126;3.47449
 78.93890;28.60438;0.32167;3.47413
 79.93890;28.50435;0.32203;3.47375
 80.93890;28.40420;0.32245;3.47336
 81.93890;28.30403;0.32320;3.47295
 82.93890;28.20406;0.32426;3.47252
 83.93890;28.10422;0.32500;3.47207
 84.93890;28.00433;0.32537;3.47160
 85.93890;27.90438;0.32585;3.47111
 86.93890;27.80440;0.32641;3.47061
 87.93890;27.70442;0.32703;3.47009
 88.93890;27.60450;0.32774;3.46956
 89.93890;27.50461;0.32846;3.46900
 90.93890;27.40478;0.32909;3.46843
 91.93890;27.30491;0.32956;3.46784
 92.93890;27.20490;0.32991;3.46723
 93.93890;27.10484;0.33032;3.46661
 94.93890;27.00491;0.33109;3.46597
 95.93890;26.90511;0.33178;3.46531
 96.93890;26.80517;0.33208;3.46463
 97.93890;26.70504;0.33224;3.46394
 98.93890;26.60490;0.33289;3.46323
 99.93890;26.50499;0.33389;3.46250
100.93890;26.40513;0.33459;3.46176
101.93890;26.30531;0.33515;3.46100
102.93890;26.20551;0.33556;3.46022
103.93890;26.10554;0.33579;3.45942
104.93890;26.00542;0.33607;3.45861
105.93890;25.90530;0.33680;3.45779
106.93890;25.80527;0.33771;3.45694
107.93890;25.70532;0.33841;3.45608
108.93890;25.60549;0.33905;3.45520
109.93890;25.50568;0.33958;3.45431
110.93890;25.40578;0.33994;3.45340
111.93890;25.30575;0.34036;3.45247
112.93890;25.20576;0.34089;3.45153
113.93890;25.10582;0.34145;3.45057
114.93890;25.00585;0.34179;3.44960
115.93890;24.90562;0.34196;3.44861
116.93890;24.80534;0.34254;3.44760
117.93890;24.70532;0.34365;3.44658
118.93890;24.60552;0.34467;3.44554
119.93890;24.50573;0.34519;3.44449
120.93890;24.40594;0.34553;3.44342
121.93890;24.30606;0.34581;3.44233
122.93890;24.20604;0.34601;3.44123
123.93890;24.10586;0.34649;3.44011
124.93890;24.00572;0.34731;3.43898
125.93890;23.90566;0.34817;3.43783
126.93890;23.80576;0.34914;3.43667
127.93890;23.70617;0.35013;3.43549
128.93890;23.60670;0.35059;3.43430
129.93890;23.50699;0.34994;3.43309
130.93890;23.40687;0.34932;3.43186
131.93890;23.30641;0.34936;3.43062
132.93890;23.20593;0.35022;3.42937
