#EXPORTTYPE:DATA SINGLE
#FILE:PHBH_microspheres.ngb-sdg
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:PHBH
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:24.09.2021 10:05
#CORR. FILE:
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:
#OPERATOR:Alberto
#REMARK:
#SAMPLE:PHBH_microspheres
#SAMPLE MASS /mg:8
#MATERIAL:
#REFERENCE:vuoto
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /�V:5000
#TAU-R:applied
#CORR. CODE:050
#EXO:+1
#RANGE:25�C/10,0(K/min)/180�C
#SEGMENT:S1/5
#SEG. 1:25�C/10,0(K/min)/180�C

#Temp./C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 25.15105; 0.00000;-2.704494e-002;3.46667
 25.65105; 0.13033;      -0.31996;3.46700
 26.15105; 0.18320;      -0.32840;3.46732
 26.65105; 0.22366;      -0.32868;3.46764
 27.15105; 0.25951;      -0.32575;3.46796
 27.65105; 0.29358;      -0.32065;3.46827
 28.15105; 0.32744;      -0.31506;3.46857
 28.65105; 0.36228;      -0.30897;3.46887
 29.15105; 0.39921;      -0.30312;3.46917
 29.65105; 0.43946;      -0.29898;3.46946
 30.15105; 0.48443;      -0.29442;3.46974
 30.65105; 0.53516;      -0.28357;3.47002
 31.15105; 0.59137;      -0.27815;3.47029
 31.65105; 0.65046;      -0.26447;3.47056
 32.15105; 0.70880;      -0.26410;3.47083
 32.65105; 0.76428;      -0.26903;3.47109
 33.15105; 0.81677;      -0.27892;3.47134
 33.65105; 0.86693;      -0.28926;3.47159
 34.15105; 0.91557;      -0.29771;3.47184
 34.65105; 0.96345;      -0.30342;3.47208
 35.15105; 1.01122;      -0.30643;3.47231
 35.65105; 1.05933;      -0.30668;3.47254
 36.15105; 1.10808;      -0.30453;3.47277
 36.65105; 1.15759;      -0.30156;3.47299
 37.15105; 1.20785;      -0.29855;3.47320
 37.65105; 1.25858;      -0.29641;3.47341
 38.15105; 1.30950;      -0.29567;3.47362
 38.65105; 1.36041;      -0.29615;3.47382
 39.15105; 1.41109;      -0.29749;3.47401
 39.65105; 1.46148;      -0.29958;3.47420
 40.15105; 1.51151;      -0.30157;3.47439
 40.65105; 1.56133;      -0.30287;3.47457
 41.15105; 1.61105;      -0.30369;3.47474
 41.65105; 1.66080;      -0.30433;3.47491
 42.15105; 1.71071;      -0.30484;3.47508
 42.65105; 1.76076;      -0.30525;3.47524
 43.15105; 1.81091;      -0.30577;3.47540
 43.65105; 1.86111;      -0.30634;3.47555
 44.15105; 1.91131;      -0.30701;3.47569
 44.65105; 1.96148;      -0.30770;3.47584
 45.15105; 2.01158;      -0.30831;3.47597
 45.65105; 2.06166;      -0.30885;3.47610
 46.15105; 2.11172;      -0.30940;3.47623
 46.65105; 2.16172;      -0.30997;3.47635
 47.15105; 2.21174;      -0.31057;3.47647
 47.65105; 2.26176;      -0.31114;3.47658
 48.15105; 2.31181;      -0.31156;3.47669
 48.65105; 2.36187;      -0.31201;3.47679
 49.15105; 2.41199;      -0.31247;3.47689
 49.65105; 2.46212;      -0.31310;3.47698
 50.15105; 2.51232;      -0.31398;3.47707
 50.65105; 2.56253;      -0.31505;3.47715
 51.15105; 2.61266;      -0.31643;3.47723
 51.65105; 2.66274;      -0.31787;3.47730
 52.15105; 2.71273;      -0.31938;3.47737
 52.65105; 2.76264;      -0.32094;3.47743
 53.15105; 2.81258;      -0.32249;3.47749
 53.65105; 2.86256;      -0.32424;3.47755
 54.15105; 2.91257;      -0.32613;3.47759
 54.65105; 2.96268;      -0.32817;3.47764
 55.15105; 3.01283;      -0.33034;3.47768
 55.65105; 3.06305;      -0.33258;3.47771
 56.15105; 3.11331;      -0.33495;3.47774
 56.65105; 3.16358;      -0.33746;3.47777
 57.15105; 3.21386;      -0.34006;3.47779
 57.65105; 3.26408;      -0.34286;3.47780
 58.15105; 3.31422;      -0.34558;3.47782
 58.65105; 3.36427;      -0.34820;3.47782
 59.15105; 3.41423;      -0.35060;3.47782
 59.65105; 3.46416;      -0.35255;3.47782
 60.15105; 3.51408;      -0.35421;3.47781
 60.65105; 3.56409;      -0.35568;3.47780
 61.15105; 3.61421;      -0.35697;3.47778
 61.65105; 3.66440;      -0.35831;3.47776
 62.15105; 3.71464;      -0.35967;3.47773
 62.65105; 3.76488;      -0.36089;3.47770
 63.15105; 3.81501;      -0.36210;3.47766
 63.65105; 3.86509;      -0.36307;3.47762
 64.15105; 3.91510;      -0.36393;3.47758
 64.65105; 3.96510;      -0.36472;3.47753
 65.15105; 4.01513;      -0.36538;3.47747
 65.65105; 4.06518;      -0.36602;3.47741
 66.15105; 4.11522;      -0.36665;3.47735
 66.65105; 4.16527;      -0.36718;3.47728
 67.15105; 4.21529;      -0.36763;3.47721
 67.65105; 4.26528;      -0.36802;3.47713
 68.15105; 4.31533;      -0.36831;3.47704
 68.65105; 4.36538;      -0.36864;3.47696
 69.15105; 4.41545;      -0.36914;3.47686
 69.65105; 4.46552;      -0.36966;3.47677
 70.15105; 4.51553;      -0.37024;3.47667
 70.65105; 4.56548;      -0.37079;3.47656
 71.15105; 4.61542;      -0.37120;3.47645
 71.65105; 4.66534;      -0.37161;3.47633
 72.15105; 4.71529;      -0.37190;3.47621
 72.65105; 4.76530;      -0.37216;3.47609
 73.15105; 4.81538;      -0.37243;3.47596
 73.65105; 4.86548;      -0.37257;3.47582
 74.15105; 4.91558;      -0.37276;3.47569
 74.65105; 4.96566;      -0.37283;3.47554
 75.15105; 5.01571;      -0.37285;3.47540
 75.65105; 5.06576;      -0.37292;3.47524
 76.15105; 5.11579;      -0.37303;3.47509
 76.65105; 5.16581;      -0.37323;3.47493
 77.15105; 5.21583;      -0.37339;3.47476
 77.65105; 5.26588;      -0.37361;3.47459
 78.15105; 5.31597;      -0.37403;3.47442
 78.65105; 5.36604;      -0.37459;3.47424
 79.15105; 5.41607;      -0.37532;3.47405
 79.65105; 5.46605;      -0.37612;3.47386
 80.15105; 5.51600;      -0.37689;3.47367
 80.65105; 5.56591;      -0.37771;3.47347
 81.15105; 5.61585;      -0.37846;3.47327
 81.65105; 5.66577;      -0.37911;3.47307
 82.15105; 5.71576;      -0.37976;3.47286
 82.65105; 5.76586;      -0.38041;3.47264
 83.15105; 5.81601;      -0.38120;3.47242
 83.65105; 5.86619;      -0.38228;3.47220
 84.15105; 5.91634;      -0.38348;3.47197
 84.65105; 5.96643;      -0.38471;3.47174
 85.15105; 6.01645;      -0.38597;3.47150
 85.65105; 6.06646;      -0.38716;3.47126
 86.15105; 6.11646;      -0.38824;3.47101
 86.65105; 6.16648;      -0.38937;3.47076
 87.15105; 6.21654;      -0.39051;3.47050
 87.65105; 6.26665;      -0.39165;3.47024
 88.15105; 6.31679;      -0.39294;3.46998
 88.65105; 6.36694;      -0.39426;3.46971
 89.15105; 6.41706;      -0.39556;3.46944
 89.65105; 6.46713;      -0.39689;3.46916
 90.15105; 6.51719;      -0.39824;3.46888
 90.65105; 6.56727;      -0.39964;3.46860
 91.15105; 6.61735;      -0.40115;3.46831
 91.65105; 6.66743;      -0.40275;3.46801
 92.15105; 6.71747;      -0.40439;3.46771
 92.65105; 6.76749;      -0.40619;3.46741
 93.15105; 6.81751;      -0.40790;3.46710
 93.65105; 6.86746;      -0.40954;3.46679
 94.15105; 6.91744;      -0.41112;3.46647
 94.65105; 6.96750;      -0.41262;3.46615
 95.15105; 7.01762;      -0.41420;3.46583
 95.65105; 7.06783;      -0.41595;3.46550
 96.15105; 7.11805;      -0.41782;3.46517
 96.65105; 7.16825;      -0.41995;3.46483
