#EXPORTTYPE:DATA SINGLE
#FILE:PHBH_microspheres.ngb-sdg
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:PHBH
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:24.09.2021 10:05
#CORR. FILE:
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:
#OPERATOR:Alberto
#REMARK:
#SAMPLE:PHBH_microspheres
#SAMPLE MASS /mg:8
#MATERIAL:
#REFERENCE:vuoto
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /‘V:5000
#TAU-R:applied
#CORR. CODE:050
#EXO:+1
#RANGE:-30›C/10,0(K/min)/180›C
#SEGMENT:S5/5
#SEG. 5:-30›C/10,0(K/min)/180›C

##Temp./›C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
-29.83566;42.50500;-1.441530e-002;3.39901
-28.83566;42.68368;      -0.23688;3.40080
-27.83566;42.75854;      -0.23170;3.40257
-26.83566;42.82543;      -0.22252;3.40432
-25.83566;42.89700;      -0.21383;3.40605
-24.83566;42.98377;      -0.20773;3.40776
-23.83566;43.09400;      -0.19685;3.40945
-22.83566;43.21131;      -0.19737;3.41112
-21.83566;43.31706;      -0.20693;3.41276
-20.83566;43.41475;      -0.21350;3.41439
-19.83566;43.51043;      -0.21470;3.41599
-18.83566;43.60779;      -0.21248;3.41758
-17.83566;43.70793;      -0.21018;3.41914
-16.83566;43.80969;      -0.20949;3.42068
-15.83566;43.91123;      -0.21073;3.42220
-14.83566;44.01167;      -0.21275;3.42370
-13.83566;44.11118;      -0.21385;3.42518
-12.83566;44.21054;      -0.21411;3.42663
-11.83566;44.31046;      -0.21410;3.42807
-10.83566;44.41095;      -0.21482;3.42949
 -9.83566;44.51134;      -0.21637;3.43088
 -8.83566;44.61107;      -0.21768;3.43226
 -7.83566;44.71082;      -0.21872;3.43361
 -6.83566;44.81106;      -0.22023;3.43494
 -5.83566;44.91151;      -0.22293;3.43625
 -4.83566;45.01178;      -0.22698;3.43754
 -3.83566;45.11174;      -0.23176;3.43881
 -2.83566;45.21173;      -0.23713;3.44006
 -1.83566;45.31247;      -0.24348;3.44129
 -0.83566;45.41380;      -0.25923;3.44250
  0.16434;45.51461;      -0.27770;3.44369
  1.16434;45.61511;      -0.30257;3.44485
  2.16434;45.71579;      -0.31601;3.44600
  3.16434;45.81657;      -0.30898;3.44712
  4.16434;45.91681;      -0.30038;3.44823
  5.16434;46.01636;      -0.29854;3.44931
  6.16434;46.11565;      -0.29728;3.45037
  7.16434;46.21536;      -0.29565;3.45142
  8.16434;46.31573;      -0.29473;3.45244
  9.16434;46.41628;      -0.29534;3.45344
 10.16434;46.51623;      -0.29651;3.45442
 11.16434;46.61576;      -0.29646;3.45538
 12.16434;46.71548;      -0.29602;3.45632
 13.16434;46.81560;      -0.29557;3.45724
