#EXPORTTYPE:DATA SINGLE
#FILE:PHBH.ngb-sdg
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:PHBH
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:22.09.2021 15:49
#CORR. FILE:
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:
#OPERATOR:Alberto
#REMARK:
#SAMPLE:PHBH
#SAMPLE MASS /mg:6.4
#MATERIAL:
#REFERENCE:vuoto
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /‘V:5000
#TAU-R:applied
#CORR. CODE:050
#EXO:+1
#RANGE:180›C/10,0(K/min)/-30›C
#SEGMENT:S3/5
#SEG. 3:180›C/10,0(K/min)/-30›C

##Temp./›C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
-30.07011;39.49583;0.19462;3.39859
-29.07011;39.39596;0.19681;3.40038
-28.07011;39.29613;0.19831;3.40216
-27.07011;39.19617;0.19934;3.40392
-26.07011;39.09615;0.20043;3.40565
-25.07011;38.99627;0.20157;3.40736
-24.07011;38.89636;0.20270;3.40906
-23.07011;38.79638;0.20396;3.41073
-22.07011;38.69647;0.20542;3.41238
-21.07011;38.59658;0.20694;3.41401
-20.07011;38.49679;0.20845;3.41562
-19.07011;38.39700;0.21004;3.41721
-18.07011;38.29693;0.21157;3.41877
-17.07011;38.19686;0.21345;3.42032
-16.07011;38.09702;0.21594;3.42184
-15.07011;37.99728;0.21809;3.42335
-14.07011;37.89751;0.22031;3.42483
-13.07011;37.79774;0.22294;3.42629
-12.07011;37.69784;0.22523;3.42774
-11.07011;37.59787;0.22899;3.42916
-10.07011;37.49806;0.23290;3.43056
 -9.07011;37.39831;0.23696;3.43194
 -8.07011;37.29854;0.24148;3.43329
 -7.07011;37.19885;0.24772;3.43463
 -6.07011;37.09934;0.25352;3.43595
 -5.07011;36.99974;0.26001;3.43724
 -4.07011;36.89994;0.26746;3.43852
 -3.07011;36.80002;0.27606;3.43977
 -2.07011;36.70027;0.28450;3.44101
 -1.07011;36.60060;0.29288;3.44222
 -0.07011;36.50099;0.30023;3.44341
  0.92989;36.40132;0.30583;3.44458
  1.92989;36.30153;0.31017;3.44573
  2.92989;36.20169;0.31362;3.44686
  3.92989;36.10185;0.31601;3.44797
  4.92989;36.00198;0.31765;3.44906
  5.92989;35.90195;0.31914;3.45013
  6.92989;35.80183;0.32059;3.45117
  7.92989;35.70175;0.32203;3.45220
  8.92989;35.60178;0.32359;3.45321
  9.92989;35.50198;0.32503;3.45419
 10.92989;35.40224;0.32611;3.45516
 11.92989;35.30233;0.32696;3.45610
 12.92989;35.20233;0.32788;3.45703
 13.92989;35.10226;0.32904;3.45793
 14.92989;35.00222;0.33048;3.45881
 15.92989;34.90234;0.33202;3.45967
 16.92989;34.80255;0.33346;3.46052
 17.92989;34.70273;0.33480;3.46134
 18.92989;34.60290;0.33608;3.46214
 19.92989;34.50291;0.33729;3.46292
 20.92989;34.40286;0.33875;3.46368
 21.92989;34.30291;0.34063;3.46442
 22.92989;34.20300;0.34256;3.46514
 23.92989;34.10304;0.34425;3.46584
 24.92989;34.00297;0.34674;3.46652
 25.92989;33.90303;0.34990;3.46718
 26.92989;33.80334;0.35312;3.46782
 27.92989;33.70381;0.35612;3.46844
 28.92989;33.60410;0.35866;3.46904
 29.92989;33.50410;0.36158;3.46961
 30.92989;33.40410;0.36610;3.47017
