#EXPORTTYPE:DATA SINGLE
#FILE:PHBH.ngb-sdg
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:PHBH
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:22.09.2021 15:49
#CORR. FILE:
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:
#OPERATOR:Alberto
#REMARK:
#SAMPLE:PHBH
#SAMPLE MASS /mg:6.4
#MATERIAL:
#REFERENCE:vuoto
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /‘V:5000
#TAU-R:applied
#CORR. CODE:050
#EXO:+1
#RANGE:25›C/10,0(K/min)/180›C
#SEGMENT:S1/5
#SEG. 1:25›C/10,0(K/min)/180›C

##Temp./›C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 25.15901; 0.00000;-8.083194e-003;3.46667
 25.65901; 0.12834;      -0.33382;3.46700
 26.15901; 0.18069;      -0.34593;3.46733
 26.65901; 0.22088;      -0.34920;3.46765
 27.15901; 0.25664;      -0.34855;3.46796
 27.65901; 0.29072;      -0.34518;3.46827
 28.15901; 0.32468;      -0.34099;3.46858
 28.65901; 0.35973;      -0.33543;3.46888
 29.15901; 0.39700;      -0.32992;3.46917
 29.65901; 0.43772;      -0.32649;3.46946
 30.15901; 0.48325;      -0.32232;3.46974
 30.65901; 0.53459;      -0.31353;3.47002
 31.15901; 0.59117;      -0.30691;3.47030
 31.65901; 0.65020;      -0.29746;3.47057
 32.15901; 0.70813;      -0.29792;3.47083
 32.65901; 0.76312;      -0.30181;3.47109
 33.15901; 0.81515;      -0.30816;3.47135
 33.65901; 0.86502;      -0.31520;3.47160
 34.15901; 0.91346;      -0.32136;3.47184
 34.65901; 0.96128;      -0.32588;3.47208
 35.15901; 1.00909;      -0.32848;3.47232
 35.65901; 1.05736;      -0.32915;3.47255
 36.15901; 1.10633;      -0.32839;3.47277
 36.65901; 1.15602;      -0.32684;3.47299
 37.15901; 1.20631;      -0.32520;3.47321
 37.65901; 1.25702;      -0.32396;3.47342
 38.15901; 1.30792;      -0.32340;3.47362
