#EXPORTTYPE:DATA SINGLE
#FILE:PHBH.ngb-sdg
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:PHBH
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:22.09.2021 15:49
#CORR. FILE:
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:
#OPERATOR:Alberto
#REMARK:
#SAMPLE:PHBH
#SAMPLE MASS /mg:6.4
#MATERIAL:
#REFERENCE:vuoto
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /‘V:5000
#TAU-R:applied
#CORR. CODE:050
#EXO:+1
#RANGE:-30›C/10,0(K/min)/180›C
#SEGMENT:S5/5
#SEG. 5:-30›C/10,0(K/min)/180›C

##Temp./›C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
-29.83753;42.50583;-1.928130e-002;3.39901
-28.83753;42.68329;      -0.27685;3.40080
-27.83753;42.75791;      -0.27085;3.40257
-26.83753;42.82494;      -0.26063;3.40432
-25.83753;42.89705;      -0.25132;3.40605
-24.83753;42.98477;      -0.24505;3.40776
-23.83753;43.09552;      -0.23370;3.40945
-22.83753;43.21206;      -0.23452;3.41111
-21.83753;43.31711;      -0.24588;3.41276
-20.83753;43.41436;      -0.25298;3.41439
-19.83753;43.51001;      -0.25354;3.41599
-18.83753;43.60784;      -0.25106;3.41757
-17.83753;43.70842;      -0.24934;3.41913
-16.83753;43.81007;      -0.24971;3.42068
-15.83753;43.91111;      -0.25156;3.42220
-14.83753;44.01129;      -0.25334;3.42370
-13.83753;44.11102;      -0.25453;3.42517
-12.83753;44.21079;      -0.25549;3.42663
-11.83753;44.31076;      -0.25616;3.42807
-10.83753;44.41095;      -0.25705;3.42948
 -9.83753;44.51125;      -0.25862;3.43088
 -8.83753;44.61142;      -0.26044;3.43225
 -7.83753;44.71143;      -0.26254;3.43361
 -6.83753;44.81149;      -0.26500;3.43494
 -5.83753;44.91157;      -0.26806;3.43625
 -4.83753;45.01176;      -0.27230;3.43754
 -3.83753;45.11204;      -0.27816;3.43881
 -2.83753;45.21231;      -0.28563;3.44006
 -1.83753;45.31264;      -0.29681;3.44129
 -0.83753;45.41338;      -0.31295;3.44250
  0.16247;45.51455;      -0.33570;3.44369
  1.16247;45.61580;      -0.36447;3.44485
  2.16247;45.71674;      -0.38541;3.44600
  3.16247;45.81694;      -0.38378;3.44712
  4.16247;45.91650;      -0.37052;3.44823
  5.16247;46.01604;      -0.36193;3.44931
  6.16247;46.11587;      -0.35806;3.45037
  7.16247;46.21594;      -0.35667;3.45141
  8.16247;46.31605;      -0.35640;3.45244
  9.16247;46.41605;      -0.35659;3.45344
 10.16247;46.51600;      -0.35661;3.45442
 11.16247;46.61588;      -0.35642;3.45538
 12.16247;46.71596;      -0.35621;3.45632
 13.16247;46.81615;      -0.35637;3.45724
 14.16247;46.91619;      -0.35679;3.45814
 15.16247;47.01605;      -0.35687;3.45901
 16.16247;47.11595;      -0.35651;3.45987
 17.16247;47.21595;      -0.35570;3.46071
 18.16247;47.31605;      -0.35501;3.46153
 19.16247;47.41620;      -0.35468;3.46232
 20.16247;47.51619;      -0.35419;3.46310
 21.16247;47.61603;      -0.35313;3.46385
 22.16247;47.71590;      -0.35175;3.46459
 23.16247;47.81588;      -0.35036;3.46530
 24.16247;47.91584;      -0.34905;3.46600
 25.16247;48.01580;      -0.34782;3.46667
 26.16247;48.11583;      -0.34689;3.46733
 27.16247;48.21597;      -0.34648;3.46796
 28.16247;48.31598;      -0.34620;3.46858
 29.16247;48.41584;      -0.34557;3.46917
 30.16247;48.51575;      -0.34468;3.46975
