#                                                                 21.09.2022 12:05
# ________________________________________________________________________________
# 
# 
# 
# Curve Name:
#   !$PHBH 3D
# Curve Values:
#           Index             Ts          Value
#                           [�C]        [Wg^-1]
              0       -49.9958       0.114049
              1       -49.9961       0.107252
              2       -49.9964      0.0986937
              3       -49.9967      0.0897357
              4        -49.997      0.0820123
              5       -49.9973      0.0741396
              6       -49.9976      0.0665087
              7       -49.9978      0.0599901
              8       -49.9981      0.0523262
              9       -49.9983      0.0458884
             10       -49.9985      0.0396704
             11       -49.9988      0.0328618
             12        -49.999      0.0273438
             13       -49.9992      0.0221736
             14       -49.9994      0.0168925
             15       -49.9996      0.0111615
             16       -49.9997     0.00725374
             17       -49.9999     0.00330448
             18            -50   -0.000648268
             19       -50.0002    -0.00460966
             20       -50.0003    -0.00774221
             21       -50.0004     -0.0108069
             22       -50.0005     -0.0139198
             23       -50.0006     -0.0172332
             24       -50.0007      -0.019139
             25       -50.0008     -0.0216452
             26       -50.0009     -0.0239505
             27       -50.0009     -0.0256603
             28        -50.001     -0.0273606
             29       -50.0011     -0.0295114
             30       -50.0011     -0.0310818
             31       -50.0012     -0.0321771
             32       -50.0012     -0.0333718
             33       -50.0013     -0.0345868
             34       -50.0013     -0.0358229
             35       -50.0014     -0.0371466
             36       -50.0014     -0.0378014
             37       -50.0014     -0.0383152
             38       -50.0014     -0.0393048
             39       -50.0015     -0.0401914
             40       -50.0015     -0.0406458
             41       -50.0015     -0.0411301
             42       -50.0015     -0.0414128
             43       -50.0015      -0.041707
             44       -50.0015     -0.0420403
             45       -50.0015     -0.0416623
             46       -50.0015      -0.041808
             47       -50.0015     -0.0421827
             48       -50.0016     -0.0430898
             49       -50.0016     -0.0427245
             50       -50.0016      -0.042763
             51       -50.0016     -0.0429883
             52       -50.0016     -0.0430582
             53       -50.0016      -0.042915
             54       -50.0016     -0.0430701
             55       -50.0016     -0.0428452
             56       -50.0016     -0.0427327
             57       -50.0016     -0.0428731
             58       -50.0016      -0.043149
             59       -50.0016     -0.0428195
             60       -50.0016     -0.0430981
             61       -50.0016     -0.0432674
             62       -50.0016     -0.0433376
             63       -50.0016     -0.0431736
             64       -50.0016     -0.0429051
             65       -50.0016     -0.0425785
             66       -50.0015     -0.0422888
             67       -50.0015      -0.041995
             68       -50.0015     -0.0417055
             69       -50.0015     -0.0416998
             70       -50.0015     -0.0416698
             71       -50.0015     -0.0408118
             72       -50.0015     -0.0402279
             73       -50.0015     -0.0404575
             74       -50.0015     -0.0406927
             75       -50.0015     -0.0409162
             76       -50.0015     -0.0411398
             77       -50.0015     -0.0409146
             78       -50.0015     -0.0407933
             79       -50.0015       -0.04049
             80       -50.0015     -0.0403863
             81       -50.0015     -0.0401736
             82       -50.0015      -0.040019
             83       -50.0015     -0.0397324
             84       -50.0015      -0.040026
             85       -50.0014     -0.0392506
             86       -50.0014     -0.0390907
             87       -50.0014     -0.0389745
             88       -50.0015     -0.0397168
             89       -50.0014     -0.0395703
             90       -50.0014     -0.0392208
             91       -50.0014      -0.038576
             92       -50.0014     -0.0383155
             93       -50.0014     -0.0383613
             94       -50.0014     -0.0383462
             95       -50.0014     -0.0381442
             96       -50.0014     -0.0384662
             97       -50.0014     -0.0382414
             98       -50.0014     -0.0380674
             99       -50.0014     -0.0378701
            100       -50.0014     -0.0375988
            101       -50.0014     -0.0375718
            102       -50.0014     -0.0374102
            103       -50.0014      -0.036891
            104       -50.0013     -0.0365271
            105       -50.0013     -0.0358497
            106       -50.0013     -0.0366752
            107       -50.0013     -0.0366435
            108       -50.0013     -0.0364954
            109       -50.0013     -0.0363795
            110       -50.0013     -0.0360594
            111       -50.0013     -0.0360271
            112       -50.0013     -0.0361275
            113       -50.0013     -0.0367138
            114       -50.0013     -0.0357218
            115       -50.0013     -0.0353866
            116       -50.0013     -0.0351671
            117       -50.0013     -0.0347998
            118       -50.0013     -0.0345782
            119       -50.0013      -0.034436
            120       -50.0013     -0.0346518
            121       -50.0013     -0.0350702
            122       -50.0013     -0.0351297
            123       -50.0013     -0.0345202
            124       -50.0013     -0.0343424
            125       -50.0013     -0.0345427
            126       -50.0013     -0.0347979
            127       -50.0013     -0.0349828
            128       -50.0013      -0.034979
            129       -50.0013     -0.0341953
            130       -50.0013      -0.034133
            131       -50.0013     -0.0345195
            132       -50.0013     -0.0345826
            133       -50.0013     -0.0344507
            134       -50.0013     -0.0345103
            135       -50.0013        -0.0345
            136       -50.0012     -0.0337275
            137       -50.0012     -0.0335018
            138       -50.0012     -0.0336835
            139       -50.0012      -0.033423
            140       -50.0012     -0.0335076
            141       -50.0012     -0.0332203
            142       -50.0012     -0.0330728
            143       -50.0012     -0.0333162
            144       -50.0012     -0.0331442
            145       -50.0012      -0.032663
            146       -50.0012     -0.0326868
            147       -50.0012     -0.0328627
            148       -50.0012     -0.0331744
            149       -50.0012     -0.0337331
            150       -50.0012     -0.0332197
            151       -50.0012     -0.0332616
            152       -50.0012     -0.0332958
            153       -50.0012     -0.0324603
            154       -50.0012     -0.0335904
            155       -50.0012     -0.0334291
            156       -50.0012     -0.0330669
            157       -50.0012     -0.0328481
            158       -50.0012     -0.0320785
            159       -50.0012     -0.0322026
            160       -50.0012     -0.0328798
            161       -50.0012     -0.0331378
            162       -50.0012     -0.0329263
            163       -50.0012     -0.0327233
            164       -50.0012     -0.0325363
            165       -50.0012     -0.0323542
            166       -50.0012     -0.0331101
            167       -50.0012     -0.0330911
            168       -50.0012     -0.0326589
            169       -50.0012     -0.0324732
            170       -50.0012     -0.0325301
            171       -50.0012     -0.0326963
            172       -50.0012     -0.0326195
            173       -50.0012     -0.0324087
            174       -50.0012     -0.0321538
            175       -50.0012     -0.0321896
            176       -50.0012     -0.0326252
            177       -50.0012     -0.0326728
            178       -50.0012     -0.0325908
            179       -50.0012     -0.0324441
            180       -50.0012     -0.0321996
            181       -50.0012     -0.0320893
            182       -50.0012     -0.0326376
            183       -50.0012      -0.032381
            184       -50.0012      -0.031731
            185       -50.0012     -0.0314828
            186       -50.0012     -0.0315625
            187       -50.0012     -0.0314157
            188       -50.0012     -0.0318298
            189       -50.0012     -0.0319373
            190       -50.0012     -0.0319188
            191       -50.0012     -0.0316122
            192       -50.0012     -0.0314878
            193       -50.0012     -0.0316148
            194       -50.0011      -0.031364
            195       -50.0012     -0.0316323
            196       -50.0012     -0.0315162
            197       -50.0012     -0.0316412
            198       -50.0012     -0.0316393
            199       -50.0012     -0.0315793
            200       -50.0012     -0.0315034
            201       -50.0012     -0.0314281
            202       -50.0011     -0.0313291
            203       -50.0011     -0.0313248
            204       -50.0012     -0.0315268
            205       -50.0012     -0.0316462
            206       -50.0012     -0.0316534
            207       -50.0012     -0.0315896
            208       -50.0012     -0.0315676
            209       -50.0012     -0.0314399
            210       -50.0011     -0.0309853
            211       -50.0011     -0.0308876
            212       -50.0012     -0.0315294
            213       -50.0011     -0.0313319
            214       -50.0011     -0.0309191
            215       -50.0011     -0.0309116
            216       -50.0011     -0.0308999
            217       -50.0011      -0.030905
            218       -50.0011     -0.0309022
            219       -50.0011     -0.0310902
            220       -50.0011     -0.0311805
            221       -50.0011     -0.0311054
            222       -50.0011     -0.0312102
            223       -50.0011     -0.0308359
            224       -50.0011     -0.0306324
            225       -50.0011     -0.0308659
            226       -50.0011     -0.0311603
            227       -50.0011     -0.0310423
            228       -50.0011     -0.0310004
            229       -50.0011     -0.0309898
            230       -50.0011     -0.0309645
            231       -50.0011     -0.0308667
            232       -50.0011     -0.0312364
            233       -50.0011     -0.0311376
            234       -50.0011     -0.0309634
            235       -50.0011     -0.0306708
            236       -50.0011     -0.0310934
            237       -50.0011      -0.030951
            238       -50.0011     -0.0309355
            239       -50.0011     -0.0313524
            240       -50.0011     -0.0307348
            241       -50.0011     -0.0303568
            242       -50.0011     -0.0304571
            243       -50.0011     -0.0304256
            244       -50.0011     -0.0309416
            245       -50.0011     -0.0312981
            246       -50.0012      -0.031399
            247       -50.0012     -0.0315947
            248       -50.0011     -0.0312249
            249       -50.0011     -0.0313599
            250       -50.0012     -0.0314259
            251       -50.0011     -0.0310577
            252       -50.0011     -0.0307772
            253       -50.0011     -0.0309303
            254       -50.0011     -0.0306802
            255       -50.0011     -0.0303259
            256       -50.0011     -0.0303133
            257       -50.0011     -0.0302613
            258       -50.0011     -0.0302847
            259       -50.0011     -0.0305198
            260       -50.0011     -0.0309789
            261       -50.0011     -0.0309556
            262       -50.0011     -0.0309822
            263       -50.0011     -0.0312511
            264       -50.0011     -0.0311776
            265       -50.0011     -0.0310737
            266       -50.0011      -0.031072
            267       -50.0012     -0.0315917
            268       -50.0011     -0.0304945
            269       -50.0011     -0.0304395
            270       -50.0011     -0.0306086
            271       -50.0011     -0.0311525
            272       -50.0011     -0.0306649
            273       -50.0011     -0.0309816
            274       -50.0011     -0.0310241
            275       -50.0011     -0.0312005
            276       -50.0011     -0.0309812
            277       -50.0011     -0.0310115
            278       -50.0011     -0.0310921
            279       -50.0011     -0.0304689
            280       -50.0011     -0.0308021
            281       -50.0011     -0.0309178
            282       -50.0011     -0.0306298
            283       -50.0011     -0.0304685
            284       -50.0011     -0.0302005
            285       -50.0011     -0.0304261
            286       -50.0011     -0.0308235
            287       -50.0011     -0.0309557
            288       -50.0011     -0.0302368
            289       -50.0011     -0.0300935
            290       -50.0011     -0.0302161
            291       -50.0011     -0.0306144
            292       -50.0011     -0.0305776
            293       -50.0011     -0.0302799
            294       -50.0011      -0.030433
            295       -50.0011     -0.0306791
            296       -50.0011      -0.030874
            297       -50.0011     -0.0310081
            298       -50.0011     -0.0312365
            299       -50.0011     -0.0312475
            300       -50.0011     -0.0309671
            301       -50.0011      -0.030568
            302       -50.0011     -0.0304316
            303       -50.0011     -0.0302236
            304       -50.0011     -0.0299433
            305       -50.0011     -0.0297349
            306       -50.0011     -0.0300809
            307       -50.0011     -0.0305646
            308       -50.0011     -0.0302596
            309       -50.0011     -0.0297447
            310       -50.0011     -0.0298109
            311       -50.0011     -0.0302229
            312       -50.0011     -0.0306737
            313       -50.0011     -0.0305063
            314       -50.0011     -0.0299891
            315       -50.0011     -0.0297843
            316       -50.0011     -0.0302352
            317       -50.0011     -0.0302259
            318       -50.0011     -0.0299634
            319       -50.0011     -0.0299625
            320       -50.0011     -0.0301487
            321       -50.0011     -0.0303202
            322       -50.0011     -0.0305191
            323       -50.0011     -0.0307588
            324       -50.0011     -0.0298936
            325       -50.0011     -0.0302377
            326       -50.0011     -0.0305917
            327       -50.0011     -0.0305146
            328       -50.0011     -0.0301612
            329       -50.0011     -0.0298209
            330       -50.0011     -0.0297317
            331       -50.0011     -0.0301243
            332       -50.0011     -0.0302948
            333       -50.0011     -0.0300126
            334       -50.0011     -0.0303726
            335       -50.0011     -0.0309043
            336       -50.0011     -0.0306969
            337       -50.0011     -0.0300601
            338       -50.0011     -0.0297302
            339       -50.0011      -0.029685
            340       -50.0011     -0.0300869
            341       -50.0011     -0.0306301
            342       -50.0011     -0.0305953
            343       -50.0011      -0.030497
            344       -50.0011     -0.0305471
            345       -50.0011     -0.0304729
            346       -50.0011     -0.0302958
            347       -50.0011     -0.0304642
            348       -50.0011     -0.0311547
            349       -50.0011     -0.0306408
            350       -50.0011     -0.0299721
            351       -50.0011     -0.0295865
            352       -50.0011     -0.0302684
            353       -50.0011     -0.0304512
            354       -50.0011     -0.0306919
            355       -50.0011     -0.0303172
            356       -50.0011     -0.0300864
            357       -50.0011     -0.0298206
            358       -50.0011     -0.0296566
            359       -50.0011      -0.029732
            360       -50.0011     -0.0298295
            361       -50.0011     -0.0306459
            362       -50.0011      -0.030521
            363       -50.0011     -0.0299269
            364       -50.0011     -0.0302313
            365       -50.0011     -0.0301123
            366       -50.0011     -0.0304317
            367       -50.0011     -0.0302999
            368       -50.0011     -0.0301103
            369       -50.0011     -0.0300088
            370       -50.0011     -0.0301907
            371       -50.0011     -0.0308039
            372       -50.0011     -0.0305721
            373       -50.0011     -0.0300633
            374       -50.0011      -0.029863
            375       -50.0011     -0.0304343
            376       -50.0011     -0.0304622
            377       -50.0011     -0.0301698
            378       -50.0011      -0.030048
            379       -50.0011     -0.0302042
            380       -50.0011     -0.0302348
            381       -50.0011     -0.0301333
            382       -50.0011     -0.0297138
            383       -50.0011     -0.0295926
            384       -50.0011      -0.030267
            385       -50.0011     -0.0304052
            386       -50.0011     -0.0302001
            387       -50.0011     -0.0300797
            388       -50.0011      -0.030267
            389       -50.0011     -0.0301696
            390       -50.0011       -0.03006
            391       -50.0011      -0.030179
            392       -50.0011     -0.0300237
            393       -50.0011      -0.030657
            394       -50.0011     -0.0305189
            395       -50.0011     -0.0301757
            396       -50.0011     -0.0297796
            397       -50.0011     -0.0300599
            398       -50.0011     -0.0303006
            399       -50.0011     -0.0300317
            400       -50.0011     -0.0299746
            401       -50.0011     -0.0301817
            402       -50.0011     -0.0302457
            403       -50.0011     -0.0305663
            404       -50.0011     -0.0305107
            405       -50.0011     -0.0303158
            406       -50.0011     -0.0301208
            407       -50.0011     -0.0297553
            408       -50.0011     -0.0298284
            409       -50.0011     -0.0301817
            410       -50.0011     -0.0299654
            411       -50.0011     -0.0301223
            412       -50.0011     -0.0298929
            413       -50.0011     -0.0297346
            414       -50.0011     -0.0297682
            415       -50.0011     -0.0294112
            416       -50.0011     -0.0294872
            417       -50.0011     -0.0302386
            418       -50.0011      -0.030264
            419       -50.0011     -0.0302295
            420       -50.0011     -0.0304125
            421       -50.0011      -0.030011
            422       -50.0011     -0.0299106
            423       -50.0011     -0.0301048
            424       -50.0011     -0.0307544
            425       -50.0011     -0.0306322
            426       -50.0011     -0.0303457
            427       -50.0011     -0.0300184
            428       -50.0011     -0.0292919
            429       -50.0011     -0.0296328
            430       -50.0011     -0.0296206
            431       -50.0011     -0.0296419
            432       -50.0011     -0.0299739
            433       -50.0011      -0.029584
            434       -50.0011     -0.0296205
            435       -50.0011     -0.0298977
            436       -50.0011     -0.0297298
            437       -50.0011     -0.0299004
            438       -50.0011     -0.0300649
            439       -50.0011     -0.0296918
            440       -50.0011     -0.0296324
            441       -50.0011     -0.0302538
            442       -50.0011     -0.0301045
            443       -50.0011     -0.0298479
            444       -50.0011     -0.0296903
            445       -50.0011     -0.0296485
            446       -50.0011     -0.0298676
            447       -50.0011      -0.030178
            448       -50.0011     -0.0302069
            449       -50.0011     -0.0300216
            450       -50.0011     -0.0301068
            451       -50.0011     -0.0298356
            452       -50.0011      -0.029573
            453       -50.0011     -0.0290956
            454       -50.0011     -0.0293244
            455       -50.0011     -0.0295294
            456       -50.0011     -0.0297187
            457       -50.0011     -0.0298555
            458       -50.0011      -0.029931
            459       -50.0011     -0.0300474
            460       -50.0011     -0.0299384
            461       -50.0011     -0.0300537
            462       -50.0011      -0.030194
            463       -50.0011      -0.030316
            464       -50.0011     -0.0300459
            465       -50.0011     -0.0290461
            466       -50.0011     -0.0295703
            467       -50.0011     -0.0300425
            468       -50.0011     -0.0298803
            469       -50.0011     -0.0293389
            470       -50.0011     -0.0298872
            471       -50.0011     -0.0303451
            472       -50.0011     -0.0306504
            473       -50.0011     -0.0308497
            474       -50.0011     -0.0296757
            475       -50.0011     -0.0293538
            476       -50.0011     -0.0294033
            477       -50.0011     -0.0298746
            478       -50.0011     -0.0296271
            479       -50.0011     -0.0296949
            480       -50.0011     -0.0296224
            481       -50.0011     -0.0291436
            482       -50.0011     -0.0300818
            483       -50.0011     -0.0306656
            484       -50.0011     -0.0304054
            485       -50.0011     -0.0299721
            486       -50.0011     -0.0302522
            487       -50.0011     -0.0301759
            488       -50.0011     -0.0297913
            489       -50.0011     -0.0293383
            490       -50.0011     -0.0291314
            491       -50.0011     -0.0296523
            492       -50.0011     -0.0300017
            493       -50.0011     -0.0293382
            494       -50.0011     -0.0297037
            495       -50.0011       -0.02999
            496       -50.0011      -0.030086
            497       -50.0011      -0.029923
            498       -50.0011     -0.0303008
            499       -50.0011       -0.03057
            500       -50.0011     -0.0301904
            501       -50.0011     -0.0296306
            502       -50.0011      -0.030122
            503       -50.0011     -0.0303383
            504       -50.0011     -0.0299537
            505       -50.0011     -0.0296306
            506       -50.0011     -0.0301789
            507       -50.0011     -0.0301048
            508       -50.0011     -0.0301065
            509       -50.0011      -0.030118
            510       -50.0011     -0.0303129
            511       -50.0011     -0.0298865
            512       -50.0011     -0.0299139
            513       -50.0011     -0.0301278
            514       -50.0011     -0.0301663
            515       -50.0011     -0.0294476
            516       -50.0011     -0.0296091
            517       -50.0011     -0.0298972
            518       -50.0011      -0.030134
            519       -50.0011     -0.0302302
            520       -50.0011     -0.0301216
            521       -50.0011     -0.0297046
            522       -50.0011     -0.0294357
            523       -50.0011     -0.0296671
            524       -50.0011     -0.0299562
            525       -50.0011     -0.0299335
            526       -50.0011     -0.0297375
            527       -50.0011     -0.0295654
            528       -50.0011     -0.0296018
            529       -50.0011     -0.0298787
            530       -50.0011     -0.0297761
            531       -50.0011     -0.0302637
            532       -50.0011     -0.0301298
            533       -50.0011     -0.0296942
            534       -50.0011     -0.0299714
            535       -50.0011     -0.0300811
            536       -50.0011     -0.0299014
            537       -50.0011     -0.0298321
            538       -50.0011     -0.0300689
            539       -50.0011     -0.0298861
            540       -50.0011     -0.0298037
            541       -50.0011     -0.0298276
            542       -50.0011     -0.0298897
