"Id"	"Magnification"	"^CE Diameter (µm)"	"Length (µm)"	"Width (µm)"	"Max. Distance (µm)"	"Perimeter (µm)"	"Major Axis (°)"	"Area (µm²)"	"SE Volume (µm³)"	"Area (Pixels)"	"Circularity"	"HS Circularity"	"Convexity"	"Solidity"	"Aspect Ratio"	"Elongation"	"Intensity Mean"	"Intensity SD"	"Centre X Position (µm)"	"Centre Y Position (µm)"	"Frame Row"	"Frame Column"	"Frame Index"	"Edge stitched particle"	"Scaling Factor"	"Fiber Total Length (µm)"	"Fiber Width (µm)"	"Fiber Elongation"	"Fiber Straightness"	"Scan Area Correction"
344	10.00	119.35	136.29	104.55	139.59	386.69	110.40	11186.68	890052.88	347093	0.968	0.937	0.992	0.997	0.767	0.233	17.981	10.315	18381.746	51720.707	100	6	391	0	1	-1.00	-1.00	-1.000	-1.000	1.000
5075	10.00	114.50	120.59	109.63	120.66	366.98	52.38	10296.73	785981.94	319480	0.979	0.958	0.985	0.996	0.909	0.091	13.526	10.983	39150.719	49632.781	95	45	6206	0	1	-1.00	-1.00	-1.000	-1.000	1.000
2366	10.00	111.79	137.35	87.81	137.44	377.76	179.13	9815.02	731477.13	304534	0.928	0.861	0.978	0.968	0.639	0.361	24.369	12.490	27853.900	34512.539	57	24	2561	0	1	-1.00	-1.00	-1.000	-1.000	1.000
10566	10.00	109.92	115.45	102.29	118.10	354.19	107.63	9490.34	695483.06	294460	0.973	0.948	0.986	0.995	0.886	0.114	16.279	11.756	59719.465	63890.430	131	84	13978	0	1	-1.00	-1.00	-1.000	-1.000	1.000
12995	10.00	109.84	114.13	105.39	114.61	347.75	126.69	9475.87	693892.94	294011	0.991	0.982	0.995	0.999	0.923	0.077	13.403	11.258	67256.492	18101.178	16	99	17016	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9794	10.00	109.29	115.98	109.68	117.35	350.29	104.33	9380.79	683475.69	291061	0.979	0.958	0.991	0.996	0.946	0.054	13.809	11.765	56666.043	42420.008	77	79	12961	0	1	-1.00	-1.00	-1.000	-1.000	1.000
2189	10.00	109.18	123.57	97.58	123.63	354.84	52.68	9361.62	681381.00	290466	0.965	0.931	0.984	0.994	0.790	0.210	22.776	10.333	26949.514	74564.211	157	22	2364	0	1	-1.00	-1.00	-1.000	-1.000	1.000
13620	10.00	109.15	117.79	103.96	118.05	348.49	82.03	9356.39	680811.06	290304	0.982	0.965	0.993	0.997	0.883	0.117	19.274	10.938	69669.031	28369.750	41	103	17760	0	1	-1.00	-1.00	-1.000	-1.000	1.000
3383	10.00	108.97	117.13	100.49	117.34	346.29	90.80	9325.49	677440.31	289345	0.987	0.974	0.992	0.998	0.858	0.142	21.324	11.565	32278.529	21902.566	25	32	3808	0	1	-1.00	-1.00	-1.000	-1.000	1.000
7818	10.00	108.63	116.44	105.26	118.12	353.46	98.47	9268.73	671265.19	287584	0.964	0.929	0.977	0.995	0.904	0.096	15.269	11.604	49044.586	66878.367	138	64	9946	0	1	-1.00	-1.00	-1.000	-1.000	1.000
3381	10.00	108.27	111.52	110.96	112.56	357.28	46.02	9207.56	664630.81	285686	0.950	0.903	0.966	0.986	0.995	0.005	14.119	12.217	31949.834	19751.922	19	32	3802	0	1	-1.00	-1.00	-1.000	-1.000	1.000
1218	10.00	108.18	112.90	108.64	113.53	354.31	105.80	9192.28	662977.44	285212	0.958	0.917	0.972	0.986	0.962	0.038	24.664	11.711	23167.932	74047.258	157	15	1298	0	1	-1.00	-1.00	-1.000	-1.000	1.000
12526	10.00	108.09	108.93	106.75	111.08	343.26	52.94	9176.13	661231.44	284711	0.988	0.976	0.992	0.998	0.980	0.020	15.716	10.969	65687.813	65517.473	135	96	16379	0	1	-1.00	-1.00	-1.000	-1.000	1.000
2009	10.00	106.72	112.08	100.92	112.34	339.54	134.75	8945.60	636469.69	277558	0.986	0.972	0.991	0.998	0.900	0.100	14.039	11.895	25972.902	29974.451	45	21	2219	0	1	-1.00	-1.00	-1.000	-1.000	1.000
