

Curve Name:
  !PHBH_10 layer
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [�C]        [�C]         [%]
           0           0     32.8067          25         100
           6           6     33.8448          26     100.166
          12          12     34.6915          27     100.784
          18          18     35.5085          28     100.881
          24          24     36.2909          29     100.915
          30          30     37.0633          30     100.936
          36          36     37.8297          31     100.956
          42          42     38.6112          32     100.974
          48          48     39.3827          33     100.992
          54          54     40.1679          34      101.01
          60          60     40.9568          35     101.028
          66          66     41.7462          36     101.044
          72          72     42.5425          37     101.059
          78          78     43.3485          38     101.074
          84          84     44.1625          39     101.087
          90          90      44.978          40     101.098
          96          96     45.7894          41     101.109
         102         102     46.6145          42      101.12
         108         108     47.4316          43     101.135
         114         114     48.2745          44     101.145
         120         120     49.0921          45     101.155
         126         126     49.9216          46     101.164
         132         132     50.7741          47     101.175
         138         138     51.6139          48     101.188
         144         144     52.4677          49     101.197
         150         150     53.3165          50     101.204
         156         156     54.1508          51     101.211
         162         162     55.0036          52      101.22
         168         168     55.8754          53     101.231
         174         174     56.7375          54     101.237
         180         180      57.582          55     101.249
         186         186     58.4568          56     101.257
         192         192     59.3183          57     101.266
         198         198     60.1956          58     101.275
         204         204     61.0568          59     101.281
         210         210     61.9266          60     101.288
         216         216     62.7888          61     101.298
         222         222     63.6736          62       101.3
         228         228     64.5569          63     101.309
         234         234     65.4459          64      101.32
         240         240     66.3333          65     101.328
         246         246     67.2053          66     101.335
         252         252     68.0923          67     101.345
         258         258     68.9739          68     101.351
         264         264     69.8468          69     101.363
         270         270      70.749          70      101.37
         276         276     71.6437          71     101.377
         282         282     72.5335          72     101.384
         288         288     73.4303          73     101.393
         294         294      74.328          74     101.403
         300         300     75.2177          75     101.409
         306         306     76.1105          76     101.414
         312         312     77.0217          77     101.428
         318         318       77.93          78     101.434
         324         324     78.8079          79     101.442
         330         330     79.7265          80     101.453
         336         336     80.6339          81     101.461
         342         342     81.5342          82     101.465
         348         348     82.4415          83     101.474
         354         354     83.3618          84     101.486
         360         360     84.2587          85      101.49
         366         366      85.172          86     101.498
         372         372       86.08          87     101.507
         378         378     86.9904          88     101.515
         384         384      87.901          89     101.523
         390         390     88.8133          90      101.53
         396         396     89.7383          91     101.536
         402         402     90.6598          92     101.543
         408         408     91.5718          93      101.55
         414         414     92.4946          94      101.56
         420         420     93.4057          95     101.566
         426         426     94.3346          96      101.57
         432         432     95.2428          97     101.582
         438         438     96.1833          98     101.587
         444         444     97.0966          99     101.594
         450         450     98.0178         100     101.601
         456         456     98.9451         101      101.61
         462         462     99.8704         102     101.616
         468         468     100.807         103     101.622
         474         474      101.72         104     101.629
         480         480     102.653         105     101.638
         486         486     103.585         106     101.642
         492         492     104.516         107     101.649
         498         498     105.447         108     101.657
         504         504     106.384         109     101.663
         510         510     107.313         110      101.67
         516         516     108.243         111     101.677
         522         522     109.184         112     101.683
         528         528     110.106         113     101.689
         534         534     111.048         114     101.696
         540         540     111.997         115       101.7
         546         546     112.934         116     101.707
         552         552      113.87         117     101.711
         558         558     114.805         118     101.717
         564         564     115.746         119     101.726
         570         570     116.705         120     101.733
         576         576     117.637         121     101.737
         582         582     118.589         122     101.743
         588         588     119.521         123      101.75
         594         594     120.474         124     101.755
         600         600     121.416         125     101.763
         606         606      122.36         126     101.769
         612         612     123.303         127     101.774
         618         618     124.236         128     101.779
         624         624     125.185         129     101.784
         630         630     126.131         130     101.791
         636         636     127.084         131     101.795
         642         642     128.025         132     101.802
         648         648     128.979         133     101.808
         654         654     129.926         134     101.813
         660         660     130.891         135     101.818
         666         666     131.838         136     101.825
         672         672      132.81         137     101.831
         678         678     133.773         138     101.834
         684         684     134.741         139     101.838
         690         690     135.714         140     101.842
         696         696     136.674         141      101.85
         702         702     137.652         142     101.854
         708         708     138.611         143      101.86
         714         714      139.59         144     101.865
         720         720     140.564         145      101.87
         726         726     141.524         146     101.876
         732         732     142.503         147      101.88
         738         738     143.473         148      101.88
         744         744     144.433         149     101.886
         750         750     145.412         150     101.893
         756         756     146.386         151     101.898
