

Curve Name:
  !PHBH_powder
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [°C]        [°C]         [%]
           0           0     32,2597          25         100
           6           6     33,3275          26     100,064
          12          12      34,188          27     100,254
          18          18     34,9935          28     100,284
          24          24     35,7736          29     100,295
          30          30      36,513          30     100,302
          36          36     37,2857          31     100,308
          42          42     38,0319          32     100,313
          48          48     38,8076          33     100,317
          54          54     39,5785          34     100,321
          60          60      40,366          35     100,324
          66          66     41,1325          36     100,326
          72          72     41,9357          37     100,328
          78          78     42,7395          38     100,331
          84          84     43,5445          39     100,333
          90          90     44,3501          40     100,336
          96          96      45,145          41     100,339
         102         102      45,982          42     100,339
         108         108     46,8078          43     100,341
         114         114     47,6306          44     100,343
         120         120     48,4539          45     100,345
         126         126     49,2951          46     100,347
         132         132     50,1267          47     100,349
         138         138     50,9592          48     100,351
         144         144     51,8081          49     100,354
         150         150     52,6465          50     100,356
         156         156     53,4972          51     100,358
         162         162     54,3601          52     100,361
         168         168     55,1929          53     100,363
         174         174      56,046          54     100,365
         180         180     56,9163          55     100,368
         186         186     57,7739          56     100,371
         192         192     58,6403          57     100,373
         198         198     59,5125          58     100,375
         204         204     60,3808          59     100,377
         210         210     61,2478          60      100,38
         216         216     62,1165          61     100,383
         222         222     63,0006          62     100,385
         228         228     63,8811          63     100,388
         234         234     64,7456          64      100,39
         240         240     65,6253          65     100,392
         246         246     66,5121          66     100,394
         252         252      67,401          67     100,397
         258         258     68,2974          68       100,4
         264         264     69,1605          69     100,402
         270         270     70,0483          70     100,403
         276         276     70,9385          71     100,406
         282         282     71,8328          72     100,408
         288         288       72,74          73     100,411
         294         294     73,6241          74     100,414
         300         300      74,532          75     100,416
         306         306     75,4142          76     100,418
         312         312      76,317          77      100,42
         318         318     77,2191          78     100,423
         324         324     78,1168          79     100,425
         330         330     79,0149          80     100,427
         336         336     79,9077          81     100,429
         342         342     80,8078          82     100,432
         348         348     81,7047          83     100,433
         354         354     82,6148          84     100,436
         360         360     83,5104          85     100,438
         366         366     84,4128          86     100,441
         372         372     85,3342          87     100,442
         378         378     86,2334          88     100,445
         384         384     87,1462          89     100,447
         390         390     88,0466          90     100,449
         396         396     88,9556          91     100,451
         402         402      89,863          92     100,454
         408         408     90,7798          93     100,456
         414         414     91,6909          94     100,458
         420         420     92,6097          95     100,461
         426         426     93,5086          96     100,463
         432         432     94,4198          97     100,465
         438         438     95,3558          98     100,467
         444         444     96,2638          99     100,468
         450         450     97,1707         100     100,471
         456         456     98,0979         101     100,474
         462         462     99,0274         102     100,475
         468         468     99,9499         103     100,477
         474         474     100,873         104     100,478
         480         480     101,805         105      100,48
         486         486     102,722         106     100,483
         492         492     103,656         107     100,484
         498         498     104,588         108     100,487
         504         504     105,514         109     100,488
         510         510     106,454         110      100,49
         516         516     107,369         111     100,492
         522         522      108,31         112     100,493
         528         528     109,246         113     100,494
         534         534     110,173         114     100,497
         540         540     111,101         115       100,5
         546         546     112,022         116     100,501
         552         552     112,963         117     100,503
         558         558      113,89         118     100,505
         564         564     114,822         119     100,507
         570         570     115,753         120     100,508
         576         576     116,672         121     100,509
         582         582     117,609         122     100,511
         588         588      118,54         123     100,513
         594         594     119,455         124     100,516
         600         600      120,39         125     100,518
         606         606     121,311         126      100,52
         612         612     122,241         127     100,522
         618         618     123,171         128     100,522
         624         624     124,091         129     100,525
         630         630     125,012         130     100,526
         636         636     125,941         131     100,527
         642         642     126,888         132     100,529
         648         648      127,83         133      100,53
         654         654     128,791         134     100,531
         660         660     129,761         135     100,533
         666         666     130,736         136     100,534
         672         672     131,731         137     100,535
         678         678     132,703         138     100,537
